epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,17205.1,0.87031,0.83774,1.23242,0.82724,0.72491,0.793,0.59273,0.96395,5.38467,1.0708,0.000571,0.000571,0.000571
67,17451.7,0.86786,0.83583,1.22798,0.82451,0.72366,0.79101,0.59094,0.96348,5.46016,1.06956,0.0005644,0.0005644,0.0005644
68,17698.1,0.86505,0.83184,1.22917,0.82353,0.72383,0.79175,0.59116,0.96545,5.42965,1.07121,0.0005578,0.0005578,0.0005578
69,17946.9,0.8614,0.81625,1.22417,0.82298,0.71741,0.79106,0.59131,0.96717,5.41608,1.07322,0.0005512,0.0005512,0.0005512
70,18193.3,0.86258,0.83011,1.22804,0.81822,0.71678,0.79147,0.59193,0.96539,5.37675,1.07358,0.0005446,0.0005446,0.0005446
71,18440.4,0.86537,0.82633,1.22781,0.82832,0.70901,0.79198,0.5926,0.96425,5.29586,1.07153,0.000538,0.000538,0.000538
72,18686.9,0.86064,0.81677,1.22351,0.83087,0.70978,0.79244,0.59275,0.96452,5.22486,1.07061,0.0005314,0.0005314,0.0005314
73,18934.7,0.87089,0.82029,1.22882,0.82609,0.71011,0.79369,0.5938,0.96331,5.25004,1.07055,0.0005248,0.0005248,0.0005248
74,19181.3,0.85913,0.80909,1.22443,0.83156,0.70812,0.79143,0.59431,0.96363,5.373,1.07219,0.0005182,0.0005182,0.0005182
75,19428,0.85456,0.79844,1.2158,0.83482,0.70876,0.79239,0.5954,0.96348,5.36443,1.0721,0.0005116,0.0005116,0.0005116
76,19675.9,0.85954,0.8039,1.21746,0.82557,0.71325,0.79235,0.59458,0.9648,5.40192,1.07272,0.000505,0.000505,0.000505
77,19923.3,0.84748,0.79225,1.21406,0.82868,0.71166,0.79244,0.59588,0.96446,5.44559,1.07211,0.0004984,0.0004984,0.0004984
78,20169.9,0.85397,0.79796,1.21928,0.83505,0.7133,0.79312,0.59582,0.96358,5.44741,1.07187,0.0004918,0.0004918,0.0004918
79,20416.7,0.84139,0.78406,1.21264,0.83406,0.71411,0.79505,0.59713,0.963,5.43653,1.07213,0.0004852,0.0004852,0.0004852
80,20664.7,0.83804,0.78227,1.21271,0.83311,0.71304,0.79459,0.59857,0.96322,5.32458,1.07319,0.0004786,0.0004786,0.0004786
81,20911.1,0.83447,0.77771,1.20605,0.83255,0.71467,0.79526,0.59811,0.96293,5.33665,1.07266,0.000472,0.000472,0.000472
