epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,6826.07,1.56243,2.18259,1.63063,0.45186,0.31029,0.31282,0.17247,1.01616,13.9594,0.99527,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6987.21,1.58184,2.25878,1.63175,0.44713,0.31329,0.29118,0.15717,1.03249,14.8004,1.02582,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7147.54,1.57045,2.24481,1.64156,0.51193,0.30516,0.31207,0.16977,1.02914,13.603,1.01982,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7308.58,1.53761,2.21503,1.61436,0.49836,0.28315,0.28795,0.15871,1.00055,14.8012,0.9979,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7473.36,1.56579,2.17258,1.63335,0.54722,0.31669,0.31087,0.17297,1.0243,13.1063,1.01272,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7638.81,1.56985,2.15223,1.6216,0.61943,0.33204,0.32424,0.18743,1.01978,15.9872,0.99141,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7800.26,1.51963,2.13705,1.60743,0.51271,0.30922,0.30636,0.17834,1.00952,16.7935,1.00027,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7961.19,1.51763,2.16663,1.59577,0.6293,0.29246,0.30172,0.17423,1.01702,14.0003,1.01355,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8121.32,1.53777,2.0919,1.60945,0.52076,0.30142,0.31962,0.18429,0.99298,16.4958,1.0016,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8282.67,1.50687,2.0718,1.5816,0.5245,0.31331,0.33284,0.19311,1.00196,14.0478,0.98583,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
